Last_Name, First_Name, Email, Activity, Duration (minutes), Date
Van-Damme,Krista,krista.van-damme@gmail.com,Bike,54,2020-10-20
Perez,Kim,kim.perez@gmail.com,Run,43,2020-10-20
Gurrala,Evelyn,evelyn.gurrala@gmail.com,Run,54,2020-10-17
Perez,Kim,KP_2020@gmail.com,Bike,19,2020-10-20
Douberley,Tareq,tareq.douberley@gmail.com,Bike,7,2020-10-18
Perez,Cody,cody.perez@gmail.com,Bike,58,2020-10-20
Perez,Kim,kim.perez@gmail.com,Run,38,2020-10-21
Van Damme,Krista,krista.vandamme@gmail.com,Run,16,2020-10-19
Oettinger,David,oettinger@gmail.com,Bike,18,2020-10-16
Van-Damme,Joe,joe.van-damme@gmail.com,Bike,45,2020-10-14
Douberley,Tareq,tareq.douberley@gmail.com,Swim,26,2020-10-14
Douberley,Tareq,tareq.douberley@gmail.com,Run,34,2020-10-15
Douberley,Tareq,tareq.douberley@gmail.com,Bike,11,2020-10-23
Van-Damme,Krista,krista.van-damme@gmail.com,Bike,55,2020-10-18
Perez,Kim,KP_2020@gmail.com,Run,5,2020-10-16
Perez,Amy,amy.perez@gmail.com,Run,32,2020-10-22
Inid,Evelyn,evelyn.inid@gmail.com,Bike,40,2020-10-18
Douberley,Tareq,tareq.douberley@gmail.com,Run,7,2020-10-17
Oettinger,Mary-Katherine,oettinger@gmail.com,Bike,31,2020-10-23
Van Damme,Krista,krista.vandamme@gmail.com,Run,2,2020-10-14
Gurrala,Evelyn,evelyn.gurrala@gmail.com,Swim,33,2020-10-23
Inid,Joe,joe.inid@gmail.com,Run,27,2020-10-21
Perez,Evelyn,evelyn.perez@gmail.com,Swim,43,2020-10-22
Van-Damme,Krista,krista.van-damme@gmail.com,Bike,15,2020-10-17
Van Damme,Cody,cody.vandamme@gmail.com,Run,8,2020-10-22
Inid,Evelyn,evelyn.inid@gmail.com,Swim,47,2020-10-17
Perez,Kim,kim.perez@gmail.com,Run,18,2020-10-17
Douberley,Tareq,tareq.douberley@gmail.com,Run,60,2020-10-15
Perez,Cody,cody.perez@gmail.com,Bike,59,2020-10-15
Oettinger,Mary-Katherine,oettinger@gmail.com,Bike,53,2020-10-15
Douberley,David,ddubbs@gmail.com,Swim,25,2020-10-23
Gurrala,Evelyn,evelyn.gurrala@gmail.com,Run,5,2020-10-23
Oettinger,Mary-Katherine,oettinger@gmail.com,Run,13,2020-10-15
Perez,Amy,amy.perez@gmail.com,Bike,21,2020-10-19
Van-Damme,John,john.van-damme@gmail.com,Run,31,2020-10-18
Van-Damme,John,john.van-damme@gmail.com,Bike,47,2020-10-20
Douberley,David,ddubbs@gmail.com,Run,43,2020-10-20
Van Damme,Amy,amy.vandamme@gmail.com,Bike,57,2020-10-18
Perez,Evelyn,evelyn.perez@gmail.com,Swim,34,2020-10-18
Van Damme,Amy,amy.vandamme@gmail.com,Run,39,2020-10-18
Perez,Amy,amy.perez@gmail.com,Swim,16,2020-10-14
Douberley, David,ddubbs@gmail.com,Run,41,2020-10-15
Douberley,Tareq,tareq.douberley@gmail.com,Run,50,2020-10-21
Inid,Joe,joe.inid@gmail.com,Bike,5,2020-10-23
Perez,Cody,cody.perez@gmail.com,Swim,18,2020-10-20
Perez,Kim,kim.perez@gmail.com,Swim,26,2020-10-16
Van Damme,Amy,amy.vandamme@gmail.com,Bike,21,2020-10-18
Perez,Kim,kim.perez@gmail.com,Swim,3,2020-10-15
Van Damme,Amy,amy.vandamme@gmail.com,Swim,5,2020-10-16
Van-Damme,Joe,joe.van-damme@gmail.com,Run,24,2020-10-23
Inid,Joe,joe.inid@gmail.com,Bike,4,2020-10-14
Perez,Amy,amy.perez@gmail.com,Bike,57,2020-10-19
Oettinger,David,oettinger@gmail.com,Swim,24,2020-10-22
Oettinger,Mary-Katherine,oettinger@gmail.com,Run,25,2020-10-20
Van-Damme,John,john.van-damme@gmail.com,Bike,52,2020-10-21
Van-Damme,Joe,joe.van-damme@gmail.com,Swim,35,2020-10-14
Perez,Amy,amy.perez@gmail.com,Run,18,2020-10-17
Van-Damme,John,john.van-damme@gmail.com,Bike,6,2020-10-19
Perez,Kim,kim.perez@gmail.com,Run,35,2020-10-23
Perez,Evelyn,evelyn.perez@gmail.com,Swim,44,2020-10-21
Perez,Cody,cody.perez@gmail.com,Swim,50,2020-10-19
Perez,Kim,KP_2020@gmail.com,Run,45,2020-10-18
Douberley,David,ddubbs@gmail.com,Bike,57,2020-10-15
Perez,Kim,KP_2020@gmail.com,Run,54,2020-10-15
Oettinger,David,oettinger@gmail.com,Swim,2,2020-10-15
Douberley,Tareq,tareq.douberley@gmail.com,Swim,33,2020-10-18
Perez,Kim,KP_2020@gmail.com,Run,22,2020-10-18
Oettinger,David,oettinger@gmail.com,Swim,42,2020-10-21
Oettinger,David,oettinger@gmail.com,Bike,56,2020-10-18
Van-Damme,John,john.van-damme@gmail.com,Bike,48,2020-10-20
Van-Damme,Krista,krista.van-damme@gmail.com,Swim,12,2020-10-23
Van Damme,David,david.vandamme@gmail.com,Swim,47,2020-10-23
Douberley,John,john.douberley@gmail.com,Run,58,2020-10-14
Van Damme,David,david.vandamme@gmail.com,Run,40,2020-10-15
Van-Damme,Krista,krista.van-damme@gmail.com,Run,43,2020-10-20
Inid,Joe,joe.inid@gmail.com,Run,51,2020-10-23
Perez,Kim,kim.perez@gmail.com,Run,12,2020-10-14
Perez,Evelyn,evelyn.perez@gmail.com,Swim,22,2020-10-18
Perez,Cody,cody.perez@gmail.com,Run,12,2020-10-18
Inid,Evelyn,evelyn.inid@gmail.com,Run,55,2020-10-15
Van-Damme,John,john.van-damme@gmail.com,Run,13,2020-10-20
Perez,Kim,kim.perez@gmail.com,Bike,42,2020-10-21
Douberley,Tareq,tareq.douberley@gmail.com,Bike,33,2020-10-22
Perez,Kim,kim.perez@gmail.com,Run,32,2020-10-23
Van-Damme,Krista,krista.van-damme@gmail.com,Swim,54,2020-10-16
Perez,Amy,amy.perez@gmail.com,Run,31,2020-10-23
Perez,Kim,KP_2020@gmail.com,Bike,59,2020-10-16
Oettinger,Mary-Katherine,oettinger@gmail.com,Bike,33,2020-10-22
Van-Damme,John,john.van-damme@gmail.com,Swim,16,2020-10-22
Van-Damme,Joe,joe.van-damme@gmail.com,Run,54,2020-10-19
Douberley,John,john.douberley@gmail.com,Run,28,2020-10-16
Perez,Cody,cody.perez@gmail.com,Bike,42,2020-10-22
Inid,Joe,joe.inid@gmail.com,Bike,46,2020-10-16
Oettinger ,Mary-Katherine, oettinger@gmail.com,Run,42,2020-10-16
Douberley,John,john.douberley@gmail.com,Bike,30,2020-10-20
Inid,Joe,joe.inid@gmail.com,Run,51,2020-10-22
Douberley,John,john.douberley@gmail.com,Run,46,2020-10-18
Van Damme,David,david.vandamme@gmail.com,Run,52,2020-10-20
Perez,Amy,amy.perez@gmail.com,Swim,39,2020-10-15
Oettinger,David,oettinger@gmail.com,Swim,48,2020-10-17
Douberley,David,ddubbs@gmail.com,Bike,21,2020-10-23
Van Damme,Krista,krista.vandamme@gmail.com,Bike,11,2020-10-20
Inid,Joe,joe.inid@gmail.com,Run,24,2020-10-23
Perez,Amy,amy.perez@gmail.com,Run,11,2020-10-19
